------------------------------------
- NUMERICAL TRANSLATION OF THE MAP -
- Wall: 10                         -
- Floor: 30                        -
- Key: 47                          -
- Void: 32                         -
- 53(51) across, 30 down           -
------------------------------------
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,32,32,32
32,10,30,30,30,10,10,30,30,30,10,10,30,10,30,30,30,10,30,30,30,10,10,30,30,30,30,30,30,30,30,10,30,30,30,30,30,30,30,10,30,10,10,30,30,30,30,30,30,30,30,10,32,32,32
32,10,30,10,30,30,30,30,10,30,30,10,30,30,30,10,30,30,30,10,30,30,10,30,10,10,10,30,10,10,10,10,30,10,10,10,30,10,30,10,30,30,30,30,10,10,10,10,10,10,30,10,32,32,32
32,10,30,10,10,10,10,30,10,10,30,10,30,10,10,10,10,10,10,10,10,30,10,30,30,10,30,30,30,10,30,10,30,10,30,10,30,10,30,10,10,10,10,30,10,32,32,32,32,10,30,10,32,32,32
32,10,30,30,30,30,10,30,10,30,30,30,30,10,30,30,30,30,30,10,30,30,30,30,30,10,30,10,30,10,30,30,30,10,30,30,30,10,30,30,30,30,30,30,10,32,32,32,32,10,30,10,32,32,32
32,10,30,10,10,10,10,10,10,10,10,10,30,10,30,10,10,10,30,10,10,10,10,10,30,10,30,10,10,10,30,10,10,10,30,10,30,10,30,10,30,10,10,10,10,32,32,32,32,10,30,10,32,32,32
32,10,30,30,30,30,30,30,30,30,10,10,10,10,30,30,10,30,30,10,30,30,30,30,30,10,30,10,30,30,30,10,30,10,30,10,30,30,30,10,30,30,30,30,10,32,32,32,32,10,30,10,32,32,32
32,10,10,10,10,10,10,10,10,30,30,30,30,30,30,30,10,30,10,10,10,10,10,10,30,10,30,30,30,10,10,10,30,30,30,10,10,10,30,10,10,10,10,10,10,32,32,32,32,10,30,10,32,32,32
32,10,30,30,30,30,30,30,10,10,10,10,10,10,10,30,10,30,10,30,30,30,10,30,30,10,10,10,10,10,30,10,10,10,10,10,30,30,30,30,10,30,30,30,10,32,32,32,32,10,30,10,32,32,32
